"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/autop/Project/ALOSS/src/@types/bootstarp-load-service.d.ts", "TypeScript", 18, 0, 0, 18
"/Users/autop/Project/ALOSS/src/@types/db-data-base.d.ts", "TypeScript", 9, 0, 2, 11
"/Users/autop/Project/ALOSS/src/@types/express-handl.d.ts", "TypeScript", 4, 0, 2, 6
"/Users/autop/Project/ALOSS/src/@types/location.d.ts", "TypeScript", 1, 0, 0, 1
"/Users/autop/Project/ALOSS/src/@types/mini-service-interface-base.d.ts", "TypeScript", 6, 3, 3, 12
"/Users/autop/Project/ALOSS/src/@types/mul-return-type-base.d.ts", "TypeScript", 4, 0, 0, 4
"/Users/autop/Project/ALOSS/src/@types/service.d.ts", "TypeScript", 5, 0, 1, 6
"/Users/autop/Project/ALOSS/src/@types/session-data.d.ts", "TypeScript", 18, 2, 6, 26
"/Users/autop/Project/ALOSS/src/@types/setup.d.ts", "TypeScript", 11, 2, 3, 16
"/Users/autop/Project/ALOSS/src/bootstrap.ts", "TypeScript", 81, 19, 8, 108
"/Users/autop/Project/ALOSS/src/bootstrap/http.ts", "TypeScript", 81, 10, 5, 96
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/db.ts", "TypeScript", 52, 6, 7, 65
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/email.ts", "TypeScript", 14, 0, 2, 16
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/log.ts", "TypeScript", 27, 0, 4, 31
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/redis.ts", "TypeScript", 8, 0, 0, 8
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/session.ts", "TypeScript", 35, 1, 2, 38
"/Users/autop/Project/ALOSS/src/bootstrap/plugin/state.ts", "TypeScript", 7, 1, 2, 10
"/Users/autop/Project/ALOSS/src/bootstrap/redis-sub.ts", "TypeScript", 23, 2, 1, 26
"/Users/autop/Project/ALOSS/src/bootstrap/ws.ts", "TypeScript", 67, 0, 14, 81
"/Users/autop/Project/ALOSS/src/class/db-model-base.abstract.ts", "TypeScript", 15, 0, 3, 18
"/Users/autop/Project/ALOSS/src/class/error/error-base.class.ts", "TypeScript", 14, 0, 3, 17
"/Users/autop/Project/ALOSS/src/class/error/init-error.class.ts", "TypeScript", 13, 1, 3, 17
"/Users/autop/Project/ALOSS/src/class/geographic-coordinate-mark.class.ts", "TypeScript", 0, 0, 1, 1
"/Users/autop/Project/ALOSS/src/class/http-package.class.ts", "TypeScript", 46, 18, 2, 66
"/Users/autop/Project/ALOSS/src/class/model-data-collection.class.ts", "TypeScript", 53, 1, 9, 63
"/Users/autop/Project/ALOSS/src/class/redis-package.class.ts", "TypeScript", 10, 0, 6, 16
"/Users/autop/Project/ALOSS/src/class/redis-pubsub.class.ts", "TypeScript", 40, 3, 7, 50
"/Users/autop/Project/ALOSS/src/class/user-client-conn.class.ts", "TypeScript", 44, 5, 13, 62
"/Users/autop/Project/ALOSS/src/class/ws-package.class.ts", "TypeScript", 27, 4, 4, 35
"/Users/autop/Project/ALOSS/src/config/app.config.ts", "TypeScript", 7, 1, 1, 9
"/Users/autop/Project/ALOSS/src/config/email.config.ts", "TypeScript", 5, 0, 1, 6
"/Users/autop/Project/ALOSS/src/config/gaode-map-sdk.config.ts", "TypeScript", 1, 0, 0, 1
"/Users/autop/Project/ALOSS/src/config/static.config.ts", "TypeScript", 31, 1, 10, 42
"/Users/autop/Project/ALOSS/src/decorators/mongodb-index.decorator.ts", "TypeScript", 115, 21, 16, 152
"/Users/autop/Project/ALOSS/src/functions/as-type.ts", "TypeScript", 3, 0, 0, 3
"/Users/autop/Project/ALOSS/src/functions/builder/401.http.package.ts", "TypeScript", 3, 0, 0, 3
"/Users/autop/Project/ALOSS/src/functions/builder/test-code.html.ts", "TypeScript", 10, 0, 1, 11
"/Users/autop/Project/ALOSS/src/functions/check.ts", "TypeScript", 6, 6, 0, 12
"/Users/autop/Project/ALOSS/src/functions/crypto-hash.ts", "TypeScript", 4, 0, 3, 7
"/Users/autop/Project/ALOSS/src/functions/function-packer.ts", "TypeScript", 3, 0, 0, 3
"/Users/autop/Project/ALOSS/src/functions/load-in-folder-script.ts", "TypeScript", 24, 2, 2, 28
"/Users/autop/Project/ALOSS/src/functions/location.ts", "TypeScript", 8, 0, 3, 11
"/Users/autop/Project/ALOSS/src/functions/logger-build.ts", "TypeScript", 25, 0, 4, 29
"/Users/autop/Project/ALOSS/src/functions/object-tool.ts", "TypeScript", 25, 4, 3, 32
"/Users/autop/Project/ALOSS/src/functions/object-transform.ts", "TypeScript", 7, 1, 0, 8
"/Users/autop/Project/ALOSS/src/functions/parse-email-tool.ts", "TypeScript", 16, 0, 2, 18
"/Users/autop/Project/ALOSS/src/functions/phone-number-tool.ts", "TypeScript", 31, 1, 5, 37
"/Users/autop/Project/ALOSS/src/functions/redis-async.ts", "TypeScript", 10, 0, 2, 12
"/Users/autop/Project/ALOSS/src/functions/service-unit-packer.ts", "TypeScript", 55, 20, 3, 78
"/Users/autop/Project/ALOSS/src/functions/set-tool.ts", "TypeScript", 10, 0, 0, 10
"/Users/autop/Project/ALOSS/src/functions/setup-router.ts", "TypeScript", 49, 5, 4, 58
"/Users/autop/Project/ALOSS/src/functions/string-to-regex.ts", "TypeScript", 24, 0, 0, 24
"/Users/autop/Project/ALOSS/src/functions/time-unit.ts", "TypeScript", 7, 8, 0, 15
"/Users/autop/Project/ALOSS/src/functions/type-protection.ts", "TypeScript", 0, 0, 1, 1
"/Users/autop/Project/ALOSS/src/functions/uuid.ts", "TypeScript", 5, 0, 2, 7
"/Users/autop/Project/ALOSS/src/main.ts", "TypeScript", 5, 2, 2, 9
"/Users/autop/Project/ALOSS/src/middleware/ajv-packer.middleware.ts", "TypeScript", 66, 0, 3, 69
"/Users/autop/Project/ALOSS/src/middleware/attr-test.middleware.ts", "TypeScript", 122, 33, 11, 166
"/Users/autop/Project/ALOSS/src/middleware/format.middleware.ts", "TypeScript", 19, 6, 5, 30
"/Users/autop/Project/ALOSS/src/middleware/login-protect.middleware.ts", "TypeScript", 39, 4, 4, 47
"/Users/autop/Project/ALOSS/src/model/email-user.model.ts", "TypeScript", 131, 19, 15, 165
"/Users/autop/Project/ALOSS/src/model/geographic-coordinate-mark.model.ts", "TypeScript", 108, 33, 29, 170
"/Users/autop/Project/ALOSS/src/model/ignore/db-model.template.ts", "TypeScript", 34, 2, 8, 44
"/Users/autop/Project/ALOSS/src/model/ignore/phone-number-user.model.ts", "TypeScript", 119, 10, 14, 143
"/Users/autop/Project/ALOSS/src/model/redis/session.ts", "TypeScript", 18, 5, 3, 26
"/Users/autop/Project/ALOSS/src/model/test-code.model.ts", "TypeScript", 60, 2, 7, 69
"/Users/autop/Project/ALOSS/src/pubsub/pub/forwarding.pub.ts", "TypeScript", 26, 2, 10, 38
"/Users/autop/Project/ALOSS/src/pubsub/pub/user-online.pub.ts", "TypeScript", 29, 2, 6, 37
"/Users/autop/Project/ALOSS/src/pubsub/sub/forwarding.sub.ts", "TypeScript", 38, 8, 6, 52
"/Users/autop/Project/ALOSS/src/pubsub/sub/user-online.sub.ts", "TypeScript", 29, 2, 1, 32
"/Users/autop/Project/ALOSS/src/service/email-user.service.ts", "TypeScript", 373, 12, 22, 407
